name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
CZ0 0 load,CZ0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.0107562887,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
DE0 0 load,DE0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00935132048,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
DE0 1 load,DE0 1,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01049467079,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
DK0 0 load,DK0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.0109908506,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
DK1 0 load,DK1 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00946355688,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
EE0 0 load,EE0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01048435959,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
ES0 0 load,ES0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01054831504,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
ES6 0 load,ES6 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00956191873,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
FI1 0 load,FI1 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01084246095,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
FR0 0 load,FR0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00913932802,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
FR5 0 load,FR5 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00945775992,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
GB2 0 load,GB2 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00958915881,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
GB3 0 load,GB3 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00918010688,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
GR0 0 load,GR0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00949050437,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
HR0 0 load,HR0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01057432678,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
HU0 0 load,HU0 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.00953446708,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
IE3 0 load,IE3 0,PQ,,inf,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,load,100000.01001323141,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,inf
